Year,Total
1967,408
1968,696
1969,313
1970,1673
1971,1303
1972,1265
1973,1145
1974,0
1975,697
1976,359
1977,480
1978,572
1979,0
1980,1654
1981,374
1982,333
1983,132
1984,182
1985,110
1986,212
1987,280
1988,174
1989,366
1990,364
1991,689
1992,156
1993,1078
1994,102
1995,899
1996,127
1997,303
1998,420
1999,864
2000,756
2001,603
2002,139
2003,210
2004,74
2005,26
2006,41
2007,28
2008,23
2009,17
2010,29
2011,343
2012,42
2013,18
2014,9
2015,7
2016,8
2017,2
2018,0
2019,0
2020,0
2021,0
